K,BM25_only,Dataset_only,Best_w_dataset,Best_w_bm25,Best_Hit,Lift_over_BM25,Lift_over_Dataset
1,0.26012894468951475,0.3179504580929759,0.73,0.27,0.35683746182558534,0.0967085171360706,0.03888700373260945
5,0.4183237190363081,0.5543942992874109,0.75,0.25,0.5695961995249407,0.15127248048863257,0.015201900237529764
10,0.5151001017984391,0.6479809976247031,0.7,0.30000000000000004,0.6584323040380048,0.14333220223956566,0.01045130641330172
20,0.6183915846623685,0.7266372582287072,0.64,0.36,0.7391245334238208,0.12073294876145224,0.012487275195113612
50,0.7468612147947065,0.8149983033593485,0.58,0.42000000000000004,0.8268069222938582,0.07994570749915175,0.011808618934509685
100,0.8315575161180861,0.865761791652528,0.64,0.36,0.8760095011876484,0.04445198506956227,0.010247709535120442
200,0.8966406515100102,0.9079742110620971,0.63,0.37,0.9141499830335935,0.01750933152358336,0.006175771971496435
500,0.9467933491686461,0.9451645741431964,0.55,0.44999999999999996,0.9492365117068204,0.002443162538174337,0.004071937563624006
800,0.9596878181201222,0.9584662368510349,0.63,0.37,0.9601628775025449,0.00047505938242276,0.0016966406515099841
1000,0.9633525619273838,0.9633525619273838,0.0,1.0,0.9633525619273838,0.0,0.0
